idx,deg
0,243
4,45
5,1393
6,482
7,980
8,1275
9,175
10,1005
11,2664
12,1277
13,1029
16,2775
18,902
19,531
23,497
24,1419
26,8
29,180
30,3092
32,800
33,575
35,303
37,760
38,291
39,750
41,37
42,1157
43,3145
44,3676
45,374
46,1389
47,84
50,390
51,203
53,387
54,408
55,361
56,185
58,375
59,1665
60,434
63,1408
64,21
65,154
66,338
68,134
69,60
70,178
72,809
73,241
74,350
75,158
76,358
77,1164
78,72
79,1318
80,1344
81,1148
82,993
83,872
84,1250
85,898
86,141
87,1594
88,1259
89,1066
90,62
92,983
93,1012
94,1274
95,285
96,3141
97,1715
98,1376
99,944
100,402
101,39
102,974
103,722
104,101
105,1013
106,963
107,3160
108,258
109,438
110,4737
111,750
112,3529
113,260
116,1220
117,243
118,614
119,618
120,1019
122,1411
123,272
124,950
125,1232
126,259
127,1236
128,242
130,716
131,1341
132,1314
133,469
135,448
136,25
137,281
139,1374
140,971
142,1339
143,476
145,515
147,957
148,1288
149,1111
150,61
151,1272
152,1374
153,1365
154,974
155,1041
156,116
157,80
158,1228
159,985
160,389
161,1269
163,161
166,1381
167,1061
170,722
171,273
172,161
174,324
175,103
176,1146
177,2623
178,658
179,665
181,974
183,231
191,348
192,453
195,1120
198,947
200,1223
201,1681
202,18
204,46
206,1284
207,1181
208,59
209,1230
210,65
212,9
213,1168
214,1234
215,88
216,1259
217,11
218,296
219,7
220,120
221,408
222,161
223,290
225,86
226,651
227,1122
228,434
229,2861
231,1233
233,376
234,217
235,2415
237,14
239,1664
240,2386
241,909
242,2664
243,1217
245,1297
246,925
251,1221
255,125
259,71
260,1279
261,1847
263,1419
264,1398
266,1166
267,1828
269,1195
270,1218
272,1285
277,447
279,264
280,382
282,1261
284,1432
285,2188
287,392
288,273
290,1265
291,295
296,1733
299,1187
303,167
306,32
309,1361
310,380
311,209
312,1985
316,51
318,1433
319,103
321,1416
323,875
324,58
325,169
326,240
327,100
329,1463
330,3722
331,1271
337,282
345,252
348,194
350,526
351,3002
359,39
363,101
364,291
365,1478
366,6
368,1730
370,557
376,14
377,1219
378,1029
379,1138
380,1146
381,1006
384,1045
385,164
388,1072
389,148
390,120
391,1027
392,1114
394,1700
395,2468
397,1337
398,40
400,445
401,466
403,1154
406,1330
407,43
410,257
412,377
415,74
420,1462
423,3124
425,381
426,1445
427,555
428,1443
430,954
431,1113
432,156
435,1387
437,1332
438,1484
439,1419
441,426
443,242
446,63
447,107
449,60
453,295
460,201
464,568
465,501
468,57
470,57
471,2204
472,3881
474,1183
475,388
476,302
477,313
478,240
479,687
480,242
481,523
483,1358
484,721
485,306
486,62
488,233
489,188
490,1118
491,1106
493,1046
494,1078
496,1559
497,235
498,825
499,50
500,1058
501,1146
502,28
503,1103
506,1113
507,966
508,1508
509,1041
510,273
511,555
514,2225
515,571
516,1144
517,207
518,1014
521,1061
522,2292
525,111
528,2265
529,1132
530,2834
531,1467
532,25
533,1500
534,35
535,7
537,135
538,91
539,99
540,87
541,1431
543,494
545,73
546,78
547,1425
549,108
550,1037
552,944
553,567
554,634
555,861
556,698
559,582
560,524
561,37
562,1224
563,1394
564,708
565,1044
566,440
567,972
568,29
570,37
571,55
572,56
573,199
574,46
575,47
576,542
577,51
578,55
579,42
580,80
581,71
582,187
583,68
584,88
585,624
586,230
587,219
588,107
589,789
590,15
591,31
592,251
593,862
594,338
595,100
596,759
597,1352
598,626
599,1735
