,dataset,model,epoch,datatype,pipeline,fixed synchro,rank,epoch time,commu,reduce,compute,accuracy,peak memory
0,yelp,"['gat', 2, 256]",1000,int1,True,5,0,0.05906128351177488,0.002686416730284691,0.014706675495420183,0.04166819128607001,0.42161039388982385,3927.13818359375
0,yelp,"['gat', 2, 256]",1000,int1,True,10,0,0.05807915835508278,0.0014473660183804376,0.013947244733572006,0.04268454760313034,0.4343168060470683,4044.1708984375
0,yelp,"['gat', 2, 256]",1000,int1,True,20,0,0.0580026310469423,0.0007876399904489517,0.01383049679653985,0.0433844942599535,0.4276983039891652,3923.1806640625
0,yelp,"['gat', 2, 256]",1000,int1,True,100,0,0.057346943499786515,0.0002780274621077946,0.013767000819955553,0.04330191521772317,0.432988541683393,4051.0126953125
0,yelp,"['gcn', 4, 512]",2000,int1,True,5,0,0.09738127479043464,0.0033639385333836475,0.013327126779110235,0.08069020947794076,0.457856117942768,8213.5830078125
0,yelp,"['gcn', 4, 512]",2000,int1,True,10,0,0.09505022381886608,0.0016055097824215624,0.013271447544905019,0.0801732664915395,0.46466245138470447,8204.7783203125
0,yelp,"['gcn', 4, 512]",2000,int1,True,20,0,0.09473243534963222,0.0008787945543471848,0.01323690499388561,0.08061673580139943,0.46281325509487414,8206.68408203125
0,yelp,"['gcn', 4, 512]",2000,int1,True,100,0,0.09513911040694782,0.0002820129383911269,0.013456647406707628,0.08140045006184907,0.4627027830503734,8218.11865234375
0,yelp,"['graphsage', 4, 512]",2000,int1,True,5,0,0.10077026015135121,0.0029878268528621818,0.01371382857218617,0.08406860472630286,0.6497247772584961,8674.03564453125
0,yelp,"['graphsage', 4, 512]",2000,int1,True,10,0,0.10008617087302601,0.0016496002275853486,0.01370860062091547,0.08472797002452519,0.649226560662703,8660.17041015625
0,yelp,"['graphsage', 4, 512]",2000,int1,True,20,0,0.10031163692474365,0.0009405099203963588,0.01386099456413286,0.08551013244021444,0.6509701999012832,8669.8017578125
0,yelp,"['graphsage', 4, 512]",2000,int1,True,100,0,0.10039312669588357,0.000297232964522058,0.014018020677672728,0.08607787305368879,0.6504398402373336,8668.48291015625
