,dataset,model,epoch,datatype,pipeline,fixed synchro,rank,epoch time,commu,reduce,compute,accuracy,peak memory
0,amazon,"['graphsage', 4, 512]",150,fp32,False,NA,0,0.9338434925516144,0.7158157370472682,0.06291429687092323,0.15511345863342293,NA,10086.984375
0,amazon,"['graphsage', 4, 512]",150,fp32,True,NA,0,0.5326228469382716,0.02940755036041027,0.3500187033005343,0.15319659327732693,NA,10984.984375
0,amazon,"['graphsage', 4, 512]",150,int1,False,NA,0,0.5483744162639589,0.3728917191046795,0.02353060518512289,0.1519520919741565,NA,9923.8076171875
0,amazon,"['graphsage', 4, 512]",150,int1,True,NA,0,0.5330834061134863,8.500987336835788e-05,0.3788767516158009,0.154121644624317,NA,9967.18408203125
0,amazon,"['gcn', 4, 512]",150,fp32,False,NA,0,0.9445652615933018,0.7465103819170071,0.06447879230703106,0.13357608736926357,NA,8795.86669921875
0,amazon,"['gcn', 4, 512]",150,fp32,True,NA,0,0.5968201742827437,0.018620501947766953,0.4373660396983605,0.1408336326366162,NA,10361.86669921875
0,amazon,"['gcn', 4, 512]",150,int1,False,NA,0,0.6021871293774088,0.44375373206975804,0.024432535389907487,0.1340008619177433,NA,8633.1376953125
0,amazon,"['gcn', 4, 512]",150,int1,True,NA,0,0.5886239040898913,7.626118550773795e-05,0.45256091074179144,0.1359867321625921,NA,9235.95947265625
0,amazon,"['gat', 3, 128]",150,fp32,False,NA,0,0.8854979977352928,0.6396607733864821,0.16592232507603769,0.07991489927277304,NA,3789.7294921875
0,amazon,"['gat', 3, 128]",150,fp32,True,NA,0,0.7338128708701097,0.0001500144259620259,0.6577384617492443,0.07592439469490331,NA,3817.7294921875
0,amazon,"['gat', 3, 128]",150,int1,False,NA,0,0.7427511051410937,0.5045882235956556,0.157933282488175,0.08022959905726307,NA,4114.650390625
0,amazon,"['gat', 3, 128]",150,int1,True,NA,0,0.7354309668067758,0.00012625082758546785,0.6575853078419925,0.0777194081371978,NA,4118.2451171875
