,dataset,model,epoch,datatype,pipeline,fixed synchro,rank,epoch time,commu,reduce,compute,accuracy,peak memory
0,amazon,"['graphsage', 4, 128]",2000,fp32,False,NA,0,0.28356086955569637,0.19094108074969862,0.027101125908322747,0.065518662897675,0.7901458974322619,4044.87841796875
0,amazon,"['graphsage', 4, 128]",2000,fp32,True,NA,0,0.16982807680333908,0.00017900642148635965,0.10697808974569784,0.0626709806361549,0.7907683395051912,4287.71533203125
0,amazon,"['graphsage', 4, 128]",2000,int1,False,NA,0,0.1839297931550075,0.10526437536379808,0.01398507231858897,0.06468034547262043,0.7915033161803503,7531.94873046875
0,amazon,"['graphsage', 4, 128]",2000,int1,True,NA,0,0.17337192989935588,0.0001188028097683709,0.10759464616499394,0.06565848092459357,0.7906489325700505,7543.091796875
0,amazon,"['gcn', 4, 512]",2000,fp32,False,NA,0,1.1404324765991263,0.8971706148245286,0.081308729133521,0.16195313264107664,0.5666100143809647,8803.22412109375
0,amazon,"['gcn', 4, 512]",2000,fp32,True,NA,0,0.6583404523758155,0.07015879143585341,0.4066402512563098,0.18154140968365234,0.5690342923399038,10369.22412109375
0,amazon,"['gcn', 4, 512]",2000,int1,False,NA,0,0.6217,0.4556,0.0262,0.1400,0.5740,10369.22412109375
0,amazon,"['gcn', 4, 512]",2000,int1,True,NA,0,0.6011,0.0001,0.4599,0.1410,0.5700,10369.22412109375
0,amazon,"['gat', 3, 128]",1000,fp32,False,NA,0,0.9290238403316055,0.6675362065434456,0.17334917533610547,0.0881384584520544,0.43433455387482706,3797.4169921875
0,amazon,"['gat', 3, 128]",1000,fp32,True,NA,0,0.7529523888868945,0.00021821420107569014,0.6713322435638734,0.08140193112194538,0.4321081594961776,3825.4169921875
0,amazon,"['gat', 3, 128]",1000,int1,False,NA,0,0.7686084043234587,0.5198647457041911,0.16005571053496429,0.08868794808430333,0.4272894720818364,7177.42529296875
0,amazon,"['gat', 3, 128]",1000,int1,True,NA,0,0.753819954980697,0.00016647337802818844,0.6695306434163025,0.08412283818636623,0.40389343017937285,7190.66064453125
0,amazon,"['graphsage', 4, 128]",2000,int1,False,2,0,0.17958746694509595,0.05891766407441987,0.05584500972306011,0.06482479314761597,0.7918186740140427,7541.7216796875
0,amazon,"['graphsage', 4, 128]",2000,int1,False,5,0,0.1761203068401872,0.023639848078279558,0.08711715795946015,0.06536330080244748,0.790727103262481,7559.58056640625
0,amazon,"['graphsage', 4, 128]",2000,int1,False,10,0,0.17574369110880556,0.012061037040234673,0.09844798234629472,0.06523467172227616,0.7912133784278814,7555.97705078125
0,amazon,"['graphsage', 4, 128]",2000,int1,False,20,0,0.17441418308988713,0.006039607631071638,0.10279807335549845,0.06557650210331703,0.7917112545798579,7549.17724609375
0,amazon,"['graphsage', 4, 128]",2000,int1,False,100,0,0.17360175173638392,0.0012926530997312414,0.10683991184213379,0.06546918679451891,0.7910534958182907,7551.4033203125
0,amazon,"['gcn', 4, 128]",2000,int1,False,2,0,0.27039772126085243,0.08371037536846238,0.11869495589377355,0.06799238999861651,0.5319767289636429,7193.54052734375
0,amazon,"['gcn', 4, 128]",2000,int1,False,5,0,0.2667382439154559,0.033323439564099555,0.16482779018597507,0.0685870141653813,0.5319580797600572,7194.37646484375
0,amazon,"['gcn', 4, 128]",2000,int1,False,10,0,0.2657914184249589,0.0165357638839093,0.1802733861789406,0.06898226836210902,0.5304328066004755,7193.54052734375
0,amazon,"['gcn', 4, 128]",2000,int1,False,20,0,0.2656141450516631,0.008342423391235964,0.1873296203220342,0.0699421013383929,0.5318116318747841,7193.54052734375
0,amazon,"['gcn', 4, 128]",2000,int1,False,100,0,0.2649264773706551,0.0017579278860963001,0.1937100369574498,0.06945851252710902,0.5340445909139103,7203.69775390625
0,amazon,"['gat', 3, 128]",1000,int1,False,2,0,0.7621766799794776,0.2909390673573528,0.3862676399626902,0.08496997265943457,0.4254660634174045,7187.06591796875
0,amazon,"['gat', 3, 128]",1000,int1,False,5,0,0.7564334749643292,0.1161050016858748,0.5561811008623668,0.0841473724160876,0.4243434084942232,7177.42529296875
0,amazon,"['gat', 3, 128]",1000,int1,False,10,0,0.7553364879318646,0.058647001428263526,0.6126075506742511,0.08408193582934997,0.41466119658910966,7183.2587890625
0,amazon,"['gat', 3, 128]",1000,int1,False,20,0,0.754396116361022,0.02939392812550068,0.6406860625637429,0.08431612567177837,0.4176893471788541,7180.39306640625
0,amazon,"['gat', 3, 128]",1000,int1,False,100,0,0.7542626429349184,0.006023900849478585,0.6638498564383813,0.08438888564705849,0.40667391923138413,7183.47119140625

