,dataset,model,epoch,datatype,pipeline,fixed synchro,rank,epoch time,commu,reduce,compute,accuracy,peak memory
0,ogbn-products,"['graphsage', 3, 128]",500,fp32,False,NA,0,0.5766288426959462,0.3804248411024633,0.05234548382694946,0.14385851776653344,0.789584793395301,6881.5380859375
0,ogbn-products,"['graphsage', 3, 128]",500,fp32,True,NA,0,0.27819884411422663,0.0040940388435740105,0.13571955697953433,0.13838524829111828,0.7904704325307906,7239.32470703125
0,ogbn-products,"['graphsage', 3, 128]",500,int1,False,NA,0,0.23222951611061268,0.07189439230435632,0.023890383040423884,0.1364447407658325,0.7856595142269341,9400.853515625
0,ogbn-products,"['graphsage', 3, 128]",500,int1,True,NA,0,0.21560491147062705,0.000249234550202374,0.06851433050472105,0.14684134641570362,0.7805594076339383,9430.68115234375
0,ogbn-products,"['gcn', 3, 128]",500,fp32,False,NA,0,0.5843013353946498,0.39817597352870376,0.053320853699483146,0.1328045081664629,0.7283107653503629,5169.27001953125
0,ogbn-products,"['gcn', 3, 128]",500,fp32,True,NA,0,0.28471404073484274,0.01326843708619943,0.14345251284372645,0.1279930908049169,0.7224669026262364,6665.74072265625
0,ogbn-products,"['gcn', 3, 128]",500,int1,False,NA,0,0.22467202081808596,0.07439097588372337,0.02486875345888694,0.12541229147547564,0.737197431104279,8258.25732421875
0,ogbn-products,"['gcn', 3, 128]",500,int1,True,NA,0,0.19981221714361902,0.00024361407275691696,0.0654620798179387,0.1341065232529234,0.723930918340005,8845.97314453125
0,ogbn-products,"['gat', 3, 128]",200,fp32,False,NA,0,0.7652030871673063,0.43566062910990283,0.11969151280143044,0.2098509452559731,0.7767796263235448,6749.58251953125
0,ogbn-products,"['gat', 3, 128]",200,fp32,True,NA,0,0.3824924406680194,0.00030886585062200373,0.17748260227116672,0.20470097254623068,0.7778934530934336,6749.58251953125
0,ogbn-products,"['gat', 3, 128]",200,int1,False,NA,0,0.4037269231947986,0.1079027381810275,0.09291398254307834,0.20291020247069272,0.7777750666375671,7267.48779296875
0,ogbn-products,"['gat', 3, 128]",200,int1,True,NA,0,0.3827083977785977,0.00018357011404904452,0.17702649398283524,0.2054983336817134,0.7812512002443641,7595.4248046875
0,ogbn-products,"['graphsage', 3, 128]",500,int1,True,2,0,0.2221206084495168,0.040021129253199283,0.04371935048980029,0.13838012870651722,0.7864683377231212,9438.142578125
0,ogbn-products,"['graphsage', 3, 128]",500,int1,True,5,0,0.21772665025941995,0.016329173549942906,0.05849328436659056,0.14290419234288648,0.7828842103645987,9438.142578125
0,ogbn-products,"['graphsage', 3, 128]",500,int1,True,10,0,0.2147410915571478,0.008280696890279316,0.06522562044083804,0.14123477422603042,0.7926104258704229,9430.1162109375
0,ogbn-products,"['graphsage', 3, 128]",500,int1,True,20,0,0.2128766823242598,0.004177836559278548,0.0673381341412463,0.14136071162373492,0.7920180417343887,9417.4833984375
0,ogbn-products,"['graphsage', 3, 128]",500,int1,True,100,0,0.21306366556963044,0.0010360393823529573,0.06754230811456928,0.1444853180727082,0.7824463612205734,9426.0380859375
0,ogbn-products,"['gcn', 3, 128]",500,int1,True,2,0,0.2144282917270746,0.04148469324069173,0.04151152762596917,0.1314320708604137,0.7297576105094639,8838.87939453125
0,ogbn-products,"['gcn', 3, 128]",500,int1,True,5,0,0.2040379886669963,0.016393881742195162,0.05739215724671368,0.13025194967808745,0.7387432328810699,8839.03173828125
0,ogbn-products,"['gcn', 3, 128]",500,int1,True,10,0,0.20185846330873636,0.008486526963956688,0.060862196935131944,0.13250973940964772,0.7392719052221531,8838.87939453125
0,ogbn-products,"['gcn', 3, 128]",500,int1,True,20,0,0.20163062442043972,0.004399879096334825,0.0630985626725338,0.1341321826515711,0.7294801704945707,8839.03173828125
0,ogbn-products,"['gcn', 3, 128]",500,int1,True,100,0,0.19994064189927996,0.001073775804630844,0.06496992292960128,0.13389694316504785,0.7205668451952495,8838.87939453125
0,ogbn-products,"['gat', 3, 128]",200,int1,True,2,0,0.39459332688288257,0.05979768390005285,0.1299976029179313,0.2047980400648984,0.7809068854376074,7592.0654296875
0,ogbn-products,"['gat', 3, 128]",200,int1,True,5,0,0.3877091719345613,0.023789817636663265,0.15820358829064804,0.20571576600724997,0.7758835944839141,7587.79150390625
0,ogbn-products,"['gat', 3, 128]",200,int1,True,10,0,0.38525503602894867,0.01228417998010462,0.16817795417525552,0.20479290187358853,0.7785811789935434,7591.8603515625
0,ogbn-products,"['gat', 3, 128]",200,int1,True,20,0,0.385044200853868,0.006428824229673905,0.17305786230347373,0.20555751432072036,0.7743590299721069,7587.79150390625
0,ogbn-products,"['gat', 3, 128]",200,int1,True,100,0,0.38349956815893,0.0014056536284360018,0.17683523080565713,0.20525868372483688,0.774330111143193,7588.1728515625
