,dataset,model,epoch,datatype,pipeline,fixed synchro,rank,epoch time,commu,reduce,compute,accuracy,peak memory
0,yelp,"['graphsage', 4, 512]",100,fp32,False,NA,0,4.984284678170847,4.704831991084786,0.232932728390361,0.04651995869569997,NA,2619.5556640625
0,yelp,"['graphsage', 4, 512]",100,fp32,True,NA,0,4.344844834749089,2.9045240574104843,1.3930441418359445,0.047276635502659925,NA,2933.6943359375
0,yelp,"['graphsage', 4, 512]",100,int1,False,NA,0,0.2883432659991952,0.21377085253249767,0.027335690897564557,0.04723672256913296,NA,2492.9609375
0,yelp,"['graphsage', 4, 512]",100,int1,True,NA,0,0.25221167608749034,0.025406477063201195,0.17502655262170835,0.051778646402580786,NA,2756.79443359375
0,yelp,"['gcn', 4, 512]",100,fp32,False,NA,0,5.0087836592696435,4.744154212086699,0.2184559328611507,0.046173514321793535,NA,2249.3935546875
0,yelp,"['gcn', 4, 512]",100,fp32,True,NA,0,4.338621558145035,3.138140229291694,1.1490805454032367,0.05140078345010424,NA,2679.49365234375
0,yelp,"['gcn', 4, 512]",100,int1,False,NA,0,0.26701399060182796,0.2018218816712845,0.019340734149134436,0.04585137478140901,NA,2123.84228515625
0,yelp,"['gcn', 4, 512]",100,int1,True,NA,0,0.21760992671168128,0.015703445257142533,0.15191688648490018,0.04998959496963856,NA,2508.671875
0,yelp,"['gat', 2, 256]",100,fp32,False,NA,0,2.467842368192451,2.2827465090640757,0.15181151656217354,0.03328434256620158,NA,1128.455078125
0,yelp,"['gat', 2, 256]",100,fp32,True,NA,0,2.138100734976835,1.3627635600954988,0.7435018323188605,0.03183534256247578,NA,1321.30419921875
0,yelp,"['gat', 2, 256]",100,int1,False,NA,0,0.13977474944536075,0.09340138213579045,0.016203561494516773,0.030169805815053526,NA,1134.0361328125
0,yelp,"['gat', 2, 256]",100,int1,True,NA,0,0.10450099512588146,0.001261514286662257,0.06512802423432816,0.03811145660489104,NA,1331.23388671875
